Title,Body,Link,Date,Type,Combined_Text,PText,PTitle
robinhooduk meme trader needs arrows quiver uk foray,,https://www.ft.com/content/26330bbf-5553-4bd5-861f-03e0c54032e5,"Thu, 30 Nov 2023 16:04:32 GMT",finance,robinhooduk meme trader needs arrows quiver uk foray ,"['robinhooduk', 'meme', 'trader', 'needs', 'arrows', 'quiver', 'uk', 'foray']","['robinhooduk', 'meme', 'trader', 'needs', 'arrows', 'quiver', 'uk', 'foray']"
eurozone inflation falls expected 24,,https://www.ft.com/content/b7ef0e04-d86c-4545-a729-f5a82b28c375,"Thu, 30 Nov 2023 15:59:09 GMT",finance,eurozone inflation falls expected 24 ,"['eurozone', 'inflation', 'falls', 'expected', '24']","['eurozone', 'inflation', 'falls', 'expected', '24']"
pwc fined 7mn exam cheating china hong kong staff,,https://www.ft.com/content/026720e0-5e53-4642-bdff-42013552b00b,"Thu, 30 Nov 2023 15:56:04 GMT",finance,pwc fined 7mn exam cheating china hong kong staff ,"['pwc', 'fined', '7mn', 'exam', 'cheating', 'china', 'hong', 'kong', 'staff']","['pwc', 'fined', '7mn', 'exam', 'cheating', 'china', 'hong', 'kong', 'staff']"
cop must lift omerta fossil fuel subsidies,,https://www.ft.com/content/a5eb7164-4095-45a5-b023-92092bd2c8b0,"Thu, 30 Nov 2023 15:34:02 GMT",finance,cop must lift omerta fossil fuel subsidies ,"['cop', 'must', 'lift', 'omerta', 'fossil', 'fuel', 'subsidies']","['cop', 'must', 'lift', 'omerta', 'fossil', 'fuel', 'subsidies']"
natures future underpins future business,,https://www.ft.com/content/ca666c93-65f4-4070-9ca8-0f3a44d19319,"Thu, 30 Nov 2023 15:21:50 GMT",finance,natures future underpins future business ,"['natures', 'future', 'underpins', 'future', 'business']","['natures', 'future', 'underpins', 'future', 'business']"
bidens next export controls targets uncertain,finalizing semiconductor export controls president biden may look next unclear leaving lawmakers lobbyists looking make mark,https://www.forbes.com/sites/owentedford/2023/12/01/bidens-next-export-controls-targets-are-uncertain/,"Fri, 01 Dec 2023 14:19:09 -0500",finance,bidens next export controls targets uncertain finalizing semiconductor export controls president biden may look next unclear leaving lawmakers lobbyists looking make mark,"['bidens', 'next', 'export', 'controls', 'targets', 'uncertain', 'finalizing', 'semiconductor', 'export', 'controls', 'president', 'biden', 'may', 'look', 'next', 'unclear', 'leaving', 'lawmakers', 'lobbyists', 'looking', 'make', 'mark']","['bidens', 'next', 'export', 'controls', 'targets', 'uncertain']"
powell warns premature discuss interest rate cutsdespite markets newfound optimism,,https://www.forbes.com/sites/dereksaul/2023/12/01/powell-warns-its-premature-to-discuss-interest-rate-cuts-despite-markets-newfound-optimism/,"Fri, 01 Dec 2023 12:10:15 -0500",finance,powell warns premature discuss interest rate cutsdespite markets newfound optimism ,"['powell', 'warns', 'premature', 'discuss', 'interest', 'rate', 'cutsdespite', 'markets', 'newfound', 'optimism']","['powell', 'warns', 'premature', 'discuss', 'interest', 'rate', 'cutsdespite', 'markets', 'newfound', 'optimism']"
rate expectations 2024 fed cut,,https://www.forbes.com/sites/bradmcmillan/2023/12/01/rate-expectations-for-2024-will-the-fed-cut/,"Fri, 01 Dec 2023 10:43:00 -0500",finance,rate expectations 2024 fed cut ,"['rate', 'expectations', '2024', 'fed', 'cut']","['rate', 'expectations', '2024', 'fed', 'cut']"
reminder schlumberger goes exdividend soon,,https://www.forbes.com/sites/dividendchannel/2023/12/01/reminderschlumberger-goes-ex-dividend-soon/,"Fri, 01 Dec 2023 10:35:13 -0500",finance,reminder schlumberger goes exdividend soon ,"['reminder', 'schlumberger', 'goes', 'exdividend', 'soon']","['reminder', 'schlumberger', 'goes', 'exdividend', 'soon']"
look cannabis 2023,,https://www.forbes.com/sites/lewiskoski/2023/12/01/a-look-at-cannabis-in-2023/,"Fri, 01 Dec 2023 09:15:00 -0500",finance,look cannabis 2023 ,"['look', 'cannabis', '2023']","['look', 'cannabis', '2023']"
