Title,Body,Link,Date,Type,Combined_Text,PText,PTitle
todays best cd rates dec 1 2023 apys dropped november whatâs next,,https://www.cnet.com/personal-finance/todays-best-cd-rates-dec-1-2023/#ftag=CAD590a51e,"Fri, 01 Dec 2023 14:30:00 +0000",news,todays best cd rates dec 1 2023 apys dropped november whatâs next ,"['todays', 'best', 'cd', 'rates', 'dec', '1', '2023', 'apys', 'dropped', 'november', 'whatâs', 'next']","['todays', 'best', 'cd', 'rates', 'dec', '1', '2023', 'apys', 'dropped', 'november', 'whatâs', 'next']"
stacksocial deal slashes 249 lifetime rosetta stone subscription,,https://www.cnet.com/deals/this-stacksocial-deal-slashes-249-off-a-lifetime-rosetta-stone-subscription/#ftag=CAD590a51e,"Fri, 01 Dec 2023 14:25:00 +0000",news,stacksocial deal slashes 249 lifetime rosetta stone subscription ,"['stacksocial', 'deal', 'slashes', '249', 'lifetime', 'rosetta', 'stone', 'subscription']","['stacksocial', 'deal', 'slashes', '249', 'lifetime', 'rosetta', 'stone', 'subscription']"
choose electricity provider states deregulated markets,,https://www.cnet.com/news/energy-deregulation/#ftag=CAD590a51e,"Fri, 01 Dec 2023 14:21:00 +0000",news,choose electricity provider states deregulated markets ,"['choose', 'electricity', 'provider', 'states', 'deregulated', 'markets']","['choose', 'electricity', 'provider', 'states', 'deregulated', 'markets']"
times running 200 amazon gift card offer,,https://www.cnet.com/personal-finance/you-have-one-week-left-to-get-a-200-amazon-gift-card/#ftag=CAD590a51e,"Fri, 01 Dec 2023 14:16:00 +0000",news,times running 200 amazon gift card offer ,"['times', 'running', '200', 'amazon', 'gift', 'card', 'offer']","['times', 'running', '200', 'amazon', 'gift', 'card', 'offer']"
george santos hot air,fabulist new york congressperson thirsted media spotlight expelled friday house representatives historic first,https://www.wired.com/story/george-santos-expelled-hot-air/,"Fri, 01 Dec 2023 18:48:05 +0000",news,george santos hot air fabulist new york congressperson thirsted media spotlight expelled friday house representatives historic first,"['george', 'santos', 'hot', 'air', 'fabulist', 'new', 'york', 'congressperson', 'thirsted', 'media', 'spotlight', 'expelled', 'friday', 'house', 'representatives', 'historic', 'first']","['george', 'santos', 'hot', 'air']"
dungeons dragons household name,thanks wildly popular ruleset new movie celebrity endorsements dungeons dragons gone totally mainstream,https://www.wired.com/2023/12/geeks-guide-dnd-household-name/,"Fri, 01 Dec 2023 18:06:02 +0000",news,dungeons dragons household name thanks wildly popular ruleset new movie celebrity endorsements dungeons dragons gone totally mainstream,"['dungeons', 'dragons', 'household', 'name', 'thanks', 'wildly', 'popular', 'ruleset', 'new', 'movie', 'celebrity', 'endorsements', 'dungeons', 'dragons', 'gone', 'totally', 'mainstream']","['dungeons', 'dragons', 'household', 'name']"
cybertruck must hugeor dig teslas grave,musk fulfils 15 percent cybertruck preorders would equal annual unit sales toyota polarizing ev flops tesla could big trouble,https://www.wired.com/story/tesla-cybertruck-success-failure/,"Fri, 01 Dec 2023 16:15:30 +0000",news,cybertruck must hugeor dig teslas grave musk fulfils 15 percent cybertruck preorders would equal annual unit sales toyota polarizing ev flops tesla could big trouble,"['cybertruck', 'must', 'hugeor', 'dig', 'teslas', 'grave', 'musk', 'fulfils', '15', 'percent', 'cybertruck', 'preorders', 'would', 'equal', 'annual', 'unit', 'sales', 'toyota', 'polarizing', 'ev', 'flops', 'tesla', 'could', 'big', 'trouble']","['cybertruck', 'must', 'hugeor', 'dig', 'teslas', 'grave']"
8 best indoor security cameras 2023 homes apartments,,https://www.wired.com/gallery/best-security-cameras/,"Fri, 01 Dec 2023 15:00:00 +0000",news,8 best indoor security cameras 2023 homes apartments ,"['8', 'best', 'indoor', 'security', 'cameras', '2023', 'homes', 'apartments']","['8', 'best', 'indoor', 'security', 'cameras', '2023', 'homes', 'apartments']"
americas far right calling civil war ireland,following last weeks riots dublin alliance farright antiimmigration influencers us ireland continues grow,https://www.wired.com/story/far-right-calling-for-ireland-civil-war/,"Fri, 01 Dec 2023 14:23:13 +0000",news,americas far right calling civil war ireland following last weeks riots dublin alliance farright antiimmigration influencers us ireland continues grow,"['americas', 'far', 'right', 'calling', 'civil', 'war', 'ireland', 'following', 'last', 'weeks', 'riots', 'dublin', 'alliance', 'farright', 'antiimmigration', 'influencers', 'us', 'ireland', 'continues', 'grow']","['americas', 'far', 'right', 'calling', 'civil', 'war', 'ireland']"
deter thieves improve smart home security,,https://www.wired.com/story/smart-home-security-tips/,"Fri, 01 Dec 2023 14:00:00 +0000",news,deter thieves improve smart home security ,"['deter', 'thieves', 'improve', 'smart', 'home', 'security']","['deter', 'thieves', 'improve', 'smart', 'home', 'security']"
